"ID","Location"
1,"Afghanistan"
2,"Albania"
3,"Algeria"
4,"American_Samoa"
5,"Andorra"
6,"Angola"
7,"Antigua_Barbuda"
8,"Argentina"
9,"Armenia"
10,"Aruba"
11,"Australia"
12,"Austria"
13,"Azerbaijan"
14,"Bahrain"
15,"Bangladesh"
16,"Barbados"
17,"Belarus"
18,"Belgium"
19,"Belize"
20,"Benin"
21,"Bermuda"
22,"Bhutan"
23,"Bolivia"
24,"Bosnia_Herzegovina"
25,"Botswana"
26,"Brazil"
27,"Bulgaria"
28,"Burkina_Faso"
29,"Burma"
30,"Burundi"
31,"Cambodia"
32,"Cameroon"
33,"Canada"
34,"Cape_Verde"
35,"Cayman_Islands"
36,"Centr_African_Rep"
37,"Chad"
38,"Chile"
39,"China"
40,"Colombia"
41,"Comoros"
42,"Congo_Brazzaville"
43,"Congo_Dem_Rep"
44,"Costa_Rica"
45,"Cote_dIvore"
46,"Croatia"
47,"Cuba"
48,"Cyprus"
49,"Czech_Republic"
50,"Denmark"
51,"Djibouti"
52,"Dominica"
53,"Dominican_Republic"
54,"Ecuador"
55,"Egypt"
56,"El_Salvador"
57,"Equatorial_Guinea"
58,"Eritrea"
59,"Estonia"
60,"Ethiopia"
61,"Faroe_Islands"
62,"Fiji"
63,"Finland"
64,"France"
65,"French_Guiana"
66,"French_Polynesia"
67,"Gabon"
68,"Gambia"
69,"Georgia"
70,"Germany"
71,"Ghana"
72,"Gibraltar"
73,"Greece"
74,"Greenland"
75,"Grenada"
76,"Guadeloupe"
77,"Guam"
78,"Guatemala"
79,"Guernsey"
80,"Guinea"
81,"Guinea-Bissau"
82,"Guyana"
83,"Haiti"
84,"Honduras"
85,"Hong_Kong"
86,"Hungary"
87,"Iceland"
88,"India"
89,"Indonesia"
90,"Iran"
91,"Iraq"
92,"Ireland"
93,"Isle_of_Man"
94,"Israel"
95,"Italy"
96,"Jamaica"
97,"Japan"
98,"Jersey"
99,"Jordan"
100,"Kazakhstan"
101,"Kenya"
102,"Kiribati"
103,"Kuwait"
104,"Kyrgyzstan"
105,"Laos"
106,"Latvia"
107,"Lebanon"
108,"Lesotho"
109,"Liberia"
110,"Libya"
111,"Liechtenstein"
112,"Lithuania"
113,"Luxembourg"
114,"Macao"
115,"Macedonia"
116,"Madagascar"
117,"Malawi"
118,"Malaysia"
119,"Maldives"
120,"Mali"
121,"Malta"
122,"Marshall_Islands"
123,"Martinique"
124,"Mauritania"
125,"Mauritius"
126,"Mexico"
127,"Micronesia"
128,"Moldova"
129,"Monaco"
130,"Mongolia"
131,"Montserrat"
132,"Morocco"
133,"Mozambique"
134,"Namibia"
135,"Nepal"
136,"Netherlands"
137,"Netherlands_Antilles"
138,"New_Caledonia"
139,"New_Guinea"
140,"New_Zealand"
141,"Nicaragua"
142,"Niger"
143,"Nigeria"
144,"NKorea"
145,"Northern_Mariana_Islands"
146,"Norway"
147,"Oman"
148,"Pakistan"
149,"Palau"
150,"Palest_Territory"
151,"Panama"
152,"Paraguay"
153,"Peru"
154,"Philippines"
155,"Poland"
156,"Portugal"
157,"Puerto_Rico"
158,"Qatar"
159,"Reunion"
160,"Romania"
161,"Russia"
162,"Rwanda"
163,"Samoa"
164,"San_Marino"
165,"Sao_Tome_Principe"
166,"Saudi_Arabia"
167,"Senegal"
168,"Serbia"
169,"Seychelles"
170,"Sierra_Leone"
171,"Singapore"
172,"Skorea"
173,"Slovakia"
174,"Slovenia"
175,"Somalia"
176,"South_Africa"
177,"Spain"
178,"Sri_Lanka"
179,"St_Kitts__Nevis"
180,"St_Lucia"
181,"St_Vincent_The_Grenadines"
182,"Sudan"
183,"Suriname"
184,"Swaziland"
185,"Sweden"
186,"Switzerland"
187,"Syria"
188,"Taiwan"
189,"Tajikistan"
190,"Tanzania"
191,"Thailand"
192,"The_Bahamas"
193,"Timor_Leste"
194,"Togo"
195,"Tonga"
196,"Trinidad_Tobago"
197,"Tunisia"
198,"Turkey"
199,"Turkmenistan"
200,"Turks_Caicos_Islands"
201,"Tuvalu"
202,"Uganda"
203,"Ukraine"
204,"United_Arab_Emirates"
205,"United_Kingdom"
206,"Uruguay"
207,"USA"
208,"Uzbekistan"
209,"Vanuatu"
210,"Venezuela"
211,"Vietnam"
212,"Virgin_Islands_UK"
213,"Virgin_Islands_US"
214,"Yemen"
215,"Zambia"
216,"Zimbabwe"
