"Correct","Location","originalID","Data","correctID"
"Afghanistan","Afghanistan",1,"demography",1
"Afghanistan","Afghanistan",1,"Huang2013",1
"Afghanistan","Afghanistan",1,"OAG",1
"Afghanistan","Afghanistan",1,"WTO",1
"Albania","Albania",1,"contacts",2
"Albania","Albania",2,"demography",2
"Albania","Albania",2,"Huang2013",2
"Albania","Albania",2,"OAG",2
"Albania","Albania",2,"WTO",2
"Algeria","Algeria",2,"contacts",3
"Algeria","Algeria",3,"demography",3
"Algeria","Algeria",3,"Huang2013",3
"Algeria","Algeria",3,"OAG",3
"Algeria","Algeria",3,"WTO",3
"American_Samoa","American_Samoa",4,"OAG",4
"American_Samoa","American_Samoa",4,"WTO",4
"American_Samoa","American Samoa",4,"latitudes",4
"Andorra","Andorra",3,"contacts",5
"Andorra","Andorra",5,"OAG",5
"Andorra","Andorra",5,"WTO",5
"Angola","Angola",4,"demography",6
"Angola","Angola",4,"Huang2013",6
"Angola","Angola",6,"OAG",6
"Angola","Angola",6,"WTO",6
"Anguilla","Anguilla",7,"latitudes",7
"Antarctica","Antarctica",8,"latitudes",8
"Antigua_Barbuda","Antigua and Barbuda",4,"contacts",9
"Antigua_Barbuda","Antigua and Barbuda",5,"demography",9
"Antigua_Barbuda","Antigua_Barbuda",7,"OAG",9
"Antigua_Barbuda","Antigua_Barbuda",7,"WTO",9
"Antigua_Barbuda","Antigua and Barbuda",9,"latitudes",9
"Argentina","Argentina",5,"contacts",10
"Argentina","Argentina",5,"Huang2013",10
"Argentina","Argentina",6,"demography",10
"Argentina","Argentina",8,"OAG",10
"Argentina","Argentina",8,"WTO",10
"Argentina","Argentina",10,"latitudes",10
"Armenia","Armenia",6,"contacts",11
"Armenia","Armenia",6,"Huang2013",11
"Armenia","Armenia",7,"demography",11
"Armenia","Armenia",9,"OAG",11
"Armenia","Armenia",9,"WTO",11
"Armenia","Armenia",11,"latitudes",11
"Aruba","Aruba",7,"Huang2013",12
"Aruba","Aruba",8,"demography",12
"Aruba","Aruba",10,"OAG",12
"Aruba","Aruba",10,"WTO",12
"Aruba","Aruba",12,"latitudes",12
"Australia","Australia",7,"contacts",13
"Australia","Australia",8,"Huang2013",13
"Australia","Australia",9,"demography",13
"Australia","Australia",11,"OAG",13
"Australia","Australia",11,"WTO",13
"Australia","Australia",13,"latitudes",13
"Austria","Austria",8,"contacts",14
"Austria","Austria",9,"Huang2013",14
"Austria","Austria",10,"demography",14
"Austria","Austria",12,"OAG",14
"Austria","Austria",12,"WTO",14
"Austria","Austria",14,"latitudes",14
"Azerbaijan","Azerbaijan",9,"contacts",15
"Azerbaijan","Azerbaijan",10,"Huang2013",15
"Azerbaijan","Azerbaijan",11,"demography",15
"Azerbaijan","Azerbaijan",13,"OAG",15
"Azerbaijan","Azerbaijan",13,"WTO",15
"Azerbaijan","Azerbaijan",15,"latitudes",15
"Bahamas","Bahamas",10,"contacts",16
"Bahamas","Bahamas",11,"Huang2013",16
"Bahamas","Bahamas",12,"demography",16
"Bahamas","The_Bahamas",191,"OAG",16
"Bahamas","The_Bahamas",192,"WTO",16
"Bahamas","Bahamas",16,"latitudes",16
"Bahrain","Bahrain",11,"contacts",17
"Bahrain","Bahrain",13,"demography",17
"Bahrain","Bahrain",14,"OAG",17
"Bahrain","Bahrain",14,"WTO",17
"Bahrain","Bahrain",17,"latitudes",17
"Bangladesh","Bangladesh",12,"contacts",18
"Bangladesh","Bangladesh",12,"Huang2013",18
"Bangladesh","Bangladesh",14,"demography",18
"Bangladesh","Bangladesh",15,"OAG",18
"Bangladesh","Bangladesh",15,"WTO",18
"Bangladesh","Bangladesh",18,"latitudes",18
"Barbados","Barbados",15,"demography",19
"Barbados","Barbados",16,"OAG",19
"Barbados","Barbados",16,"WTO",19
"Barbados","Barbados",19,"latitudes",19
"Belarus","Belarus",13,"contacts",20
"Belarus","Belarus",13,"Huang2013",20
"Belarus","Belarus",16,"demography",20
"Belarus","Belarus",17,"OAG",20
"Belarus","Belarus",17,"WTO",20
"Belarus","Belarus",20,"latitudes",20
"Belgium","Belgium",14,"contacts",21
"Belgium","Belgium",14,"Huang2013",21
"Belgium","Belgium",17,"demography",21
"Belgium","Belgium",18,"OAG",21
"Belgium","Belgium",18,"WTO",21
"Belgium","Belgium",21,"latitudes",21
"Belize","Belize",15,"contacts",22
"Belize","Belize",18,"demography",22
"Belize","Belize",19,"OAG",22
"Belize","Belize",19,"WTO",22
"Belize","Belize",22,"latitudes",22
"Benin","Benin",15,"Huang2013",23
"Benin","Benin",16,"contacts",23
"Benin","Benin",19,"demography",23
"Benin","Benin",20,"OAG",23
"Benin","Benin",20,"WTO",23
"Benin","Benin",23,"latitudes",23
"Bermuda","Bermuda",21,"OAG",24
"Bermuda","Bermuda",21,"WTO",24
"Bermuda","Bermuda",24,"latitudes",24
"Bhutan","Bhutan",17,"contacts",25
"Bhutan","Bhutan",20,"demography",25
"Bhutan","Bhutan",22,"OAG",25
"Bhutan","Bhutan",22,"WTO",25
"Bhutan","Bhutan",25,"latitudes",25
"Bolivia","Bolivia",16,"Huang2013",26
