"country","dose_per_1000"
"Albania",7.477008285311
"Algeria",195.73999454322
"Argentina",0
"Armenia",0
"Australia",29.1907592687791
"Austria",13.4950523355422
"Azerbaijan",0.788207126476208
"Bahamas",213.28328285629
"Bangladesh",21.489721861247
"Belarus",155.973958142797
"Belgium",1.60852130245187
"Benin",131.162986878057
"Bolivia",231.106682853597
"Botswana",316.826889572944
"Brazil",0
"Bulgaria",0
"Burkina_Faso",13.0510667849034
"Cambodia",223.540192930869
"Cameroon",101.038454941652
"Canada",0
"Cape_Verde",6.39339336158389
"Chile",174.381037638449
"China",22.329397040226
"Colombia",23.215877919306
"Costa_Rica",79.4161327575829
"Croatia",0.669627949424763
"Denmark",0
"Dominican_Republic",192.821144393492
"Ecuador",0
"Egypt",1.43722670066219
"Estonia",16.0880609652837
"Ethiopia",0
"Fiji",0
"Finland",194.033691948378
"France",15.3209678978939
"Georgia",12.9586049643736
"Germany",233.678107064525
"Ghana",0
"Greece",15.1815415204319
"Guatemala",0
"Guinea",506.911762331796
"Guyana",0.200217924838169
"Haiti",39.3978553456176
"Honduras",224.989453595536
"Hungary",0
"Iceland",98.4569313138131
"India",154.513836536201
"Indonesia",0
"Iran",55.9502903933811
"Iraq",202.590783232815
"Ireland",0.17740703911806
"Israel",2.20745302065929
"Italy",0
"Jamaica",45.3014133560051
"Japan",18.8319550463816
"Jordan",121.448606671324
"Kazakhstan",19.5082892096532
"Kenya",122.418622520284
"Kyrgyzstan",2.81068629037789
"Latvia",1.69797473294813
"Lebanon",16.2920477445357
"Lesotho",131.251409425086
"Liberia",0
"Lithuania",48.6593898913143
"Malaysia",146.232504048654
"Maldives",246.711873876181
"Malta",42.053286544429
"Mauritania",1.29044821160997
"Mexico",296.595737636511
"Mongolia",1.06716804161567
"Montenegro",44.819947785616
"Morocco",48.9908807309724
"Mozambique",3.55351703590615
"Namibia",0
"Nepal",0.633878145730347
"Netherlands",335.696397835245
"New_Zealand",0
"Nicaragua",0
"Niger",0
"Nigeria",136.326029584427
"Oman",472.015154667851
"Pakistan",138.995323666951
"Panama",199.505532529886
"Paraguay",0.991451935652832
"Peru",5.56242360358832
"Philippines",44.8913715987945
"Poland",299.729452321764
"Portugal",71.4143398012305
"Qatar",234.483594203026
"Republic_of_Congo",0.203480822903548
"Republic_of_Korea",35.2760571923571
"Romania",36.8361512056859
"Russia",0.0296966617222876
"Rwanda",37.0258766834942
"Sao_Tome_and_Principe",71.0471725461247
"Saudi_Arabia",12.7628355159191
"Senegal",18.4219984797202
"Serbia",4.95919285115032
"Sierra_Leone",3.65734867982717
"Singapore",36.3227892745574
"Slovakia",0.0668607150313793
"Slovenia",0
"Solomon_Islands",0
"South_Africa",0
"Spain",132.818664158881
"Sri_Lanka",11.6941881601324
"Suriname",6.74766783730373
"Sweden",312.500027938268
"Switzerland",1.9490884734049
"Syrian_Arab_Republic",8.22381137134774
"Tajikistan",151.091430447489
"Tanzania",7.80759428384069
"Thailand",89.0282731174703
"Tunisia",38.2306587099929
"Turkey",102.153910969488
"Uganda",12.0356491598471
"Ukraine",66.1611951358289
"United_Arab_Emirates",26.1831188330203
"United_Kingdom",0.164763693761316
"Uruguay",78.4843434947934
"USA",280.40711258923
"Uzbekistan",116.289863505944
"Venezuela",39.2198488416652
"Vietnam",9.9972978669659
"Yemen",73.3092986004961
"Zambia",2.76706309457268
"Zimbabwe",0
